gene	chr	3utr_start	3utr_end	length	source
YBL042C	chrII	138158	138341	184	Zhang_2005
YBL050W	chrII	126120	126186	67	Xu_2009
YBL054W	chrII	119167	119359	193	Nagalakshmi_2008
YBL055C	chrII	115480	115573	94	Xu_2009
YBL056W	chrII	115169	115564	396	Nagalakshmi_2008
YBL057C	chrII	112735	112801	67	Nagalakshmi_2008
YBL058W	chrII	112709	112825	117	Nagalakshmi_2008
YBL059C-A	chrII	109908	110125	218	Nagalakshmi_2008
YBL061C	chrII	105225	105316	92	Nagalakshmi_2008
YBL064C	chrII	100320	100371	52	Nagalakshmi_2008
YBL068W	chrII	93395	93477	83	Nagalakshmi_2008
YBL071W-A	chrII	90227	90477	251	Nagalakshmi_2008
YBL072C	chrII	88493	88523	31	Miura_2006
YBL076C	chrII	80943	81043	101	Nagalakshmi_2008
YBL078C	chrII	79907	80378	472	Nagalakshmi_2008
YBL086C	chrII	61156	61202	47	Miura_2006
YBL087C	chrII	59707	59822	116	Miura_2006
YBL090W	chrII	49359	49481	123	Nagalakshmi_2008
YBL091C	chrII	47218	47363	146	Nagalakshmi_2008
YBL092W	chrII	46371	46523	153	Miura_2006
YBL093C	chrII	44121	44256	136	Nagalakshmi_2008
YBL095W	chrII	44090	44207	118	Nagalakshmi_2008
YBL099W	chrII	38691	38956	266	Nagalakshmi_2008
YBL102W	chrII	24746	24920	175	Miura_2006
YBL104C	chrII	18087	18177	91	Nagalakshmi_2008
YBL107C	chrII	9819	9961	143	Xu_2009
YBR001C	chrII	238873	238941	69	Yassour_2009
YBR003W	chrII	244231	244357	127	Nagalakshmi_2008
YBR004C	chrII	244274	244366	93	Nagalakshmi_2008
YBR009C	chrII	255226	255373	148	Zhang_2005
YBR010W	chrII	256742	256945	204	Miura_2006
YBR011C	chrII	257024	257112	89	Zhang_2005
YBR015C	chrII	267587	267710	124	Nagalakshmi_2008
YBR016W	chrII	270634	270872	239	Miura_2006
YBR017C	chrII	270871	270947	77	Yassour_2009
YBR021W	chrII	283345	283482	138	Nagalakshmi_2008
YBR022W	chrII	284272	284389	118	Xu_2009
YBR024W	chrII	290351	290566	216	Nagalakshmi_2008
YBR025C	chrII	290386	290681	296	Zhang_2005
YBR030W	chrII	299951	300027	77	Yassour_2009
YBR031W	chrII	301255	301390	136	Xu_2009
YBR034C	chrII	304748	304930	183	Zhang_2005
YBR035C	chrII	306140	306269	130	Xu_2009
YBR038W	chrII	314790	314975	186	Yassour_2009
YBR039W	chrII	316511	316688	178	Nagalakshmi_2008
YBR044C	chrII	324284	324341	58	Xu_2009
YBR048W	chrII	333813	334042	230	Xu_2009
YBR049C	chrII	334142	334386	245	Miura_2006
YBR052C	chrII	338672	338720	49	Xu_2009
YBR054W	chrII	344136	344496	361	Nagalakshmi_2008
YBR056W	chrII	349385	349428	44	Yassour_2009
YBR056W-A	chrII	351456	351950	495	Miura_2006
YBR057C	chrII	352056	352193	138	Nagalakshmi_2008
YBR058C-A	chrII	356141	356324	184	Nagalakshmi_2008
YBR060C	chrII	360620	360652	33	Yassour_2009
YBR061C	chrII	364610	364787	178	Xu_2009
YBR067C	chrII	371959	372103	145	Miura_2006
YBR068C	chrII	373660	373861	202	Miura_2006
YBR069C	chrII	376466	376574	109	Miura_2006
YBR070C	chrII	379186	379221	36	Nagalakshmi_2008
YBR071W	chrII	381047	381311	265	Nagalakshmi_2008
YBR074W	chrII	389217	389313	97	Yassour_2009
YBR078W	chrII	394743	394903	161	Nagalakshmi_2008
YBR079C	chrII	395319	395383	65	Nagalakshmi_2008
YBR080C	chrII	398442	398614	173	Xu_2009
YBR082C	chrII	406484	406628	145	Zhang_2005
YBR084C-A	chrII	414088	414186	99	Zhang_2005
YBR084W	chrII	413982	414142	161	Nagalakshmi_2008
YBR085C-A	chrII	418537	418907	371	Miura_2006
YBR085W	chrII	416907	417072	166	Nagalakshmi_2008
YBR086C	chrII	420084	420201	118	Miura_2006
YBR087W	chrII	424830	424884	55	Nagalakshmi_2008
YBR088C	chrII	424898	424990	93	Xu_2009
YBR091C	chrII	427066	427155	90	Nagalakshmi_2008
YBR092C	chrII	427561	427698	138	Nagalakshmi_2008
YBR093C	chrII	429466	429548	83	Zhang_2005
YBR094W	chrII	434298	434385	88	Nagalakshmi_2008
YBR096W	chrII	436714	436781	68	Nagalakshmi_2008
YBR101C	chrII	443747	443821	75	Zhang_2005
YBR102C	chrII	444944	445062	119	Nagalakshmi_2008
YBR104W	chrII	450657	450764	108	Xu_2009
YBR105C	chrII	450765	450881	117	Nagalakshmi_2008
YBR106W	chrII	453225	453364	140	Nagalakshmi_2008
YBR109C	chrII	457722	457919	198	Nagalakshmi_2008
YBR111C	chrII	461122	461178	57	Zhang_2005
YBR111W-A	chrII	462580	462737	158	Nagalakshmi_2008
YBR114W	chrII	469621	469674	54	Yassour_2009
YBR118W	chrII	479048	479137	90	Nagalakshmi_2008
YBR119W	chrII	480324	480443	120	Xu_2009
YBR120C	chrII	480363	480435	73	Nagalakshmi_2008
YBR122C	chrII	483763	483970	208	Miura_2006
YBR123C	chrII	484673	484742	70	Xu_2009
YBR126C	chrII	488789	488905	117	Miura_2006
YBR127C	chrII	491126	491269	144	Nagalakshmi_2008
YBR129C	chrII	494282	494353	72	Nagalakshmi_2008
YBR130C	chrII	495490	495592	103	Yassour_2009
YBR137W	chrII	513584	513723	140	Nagalakshmi_2008
YBR139W	chrII	517191	517360	170	Nagalakshmi_2008
YBR145W	chrII	534818	534918	101	Nagalakshmi_2008
YBR146W	chrII	536097	536298	202	Nagalakshmi_2008
YBR149W	chrII	541022	541123	102	Nagalakshmi_2008
YBR151W	chrII	545979	546113	135	Nagalakshmi_2008
YBR154C	chrII	548280	548362	83	Zhang_2005
YBR155W	chrII	550929	551006	78	Nagalakshmi_2008
YBR158W	chrII	558199	558348	150	Nagalakshmi_2008
YBR159W	chrII	559729	559815	87	Nagalakshmi_2008
YBR160W	chrII	560975	561068	94	Nagalakshmi_2008
YBR162W-A	chrII	565429	565538	110	Miura_2006
YBR164C	chrII	567768	567875	108	Nagalakshmi_2008
YBR166C	chrII	569754	569842	89	Zhang_2005
YBR170C	chrII	576185	576344	160	Nagalakshmi_2008
YBR171W	chrII	578985	579126	142	Xu_2009
YBR172C	chrII	579013	579150	138	Xu_2009
YBR173C	chrII	581583	581726	144	Zhang_2005
YBR175W	chrII	583356	583464	109	Xu_2009
YBR176W	chrII	584659	584803	145	Nagalakshmi_2008
YBR177C	chrII	584617	584807	191	Zhang_2005
YBR181C	chrII	591643	591712	70	Nagalakshmi_2008
YBR185C	chrII	599049	599123	75	Zhang_2005
YBR187W	chrII	603477	603664	188	Xu_2009
YBR188C	chrII	603544	603685	142	Xu_2009
YBR189W	chrII	605509	605614	106	Miura_2006
YBR191W	chrII	607141	607165	25	Nagalakshmi_2008
YBR192W	chrII	608786	609055	270	Nagalakshmi_2008
YBR193C	chrII	608657	609082	426	Nagalakshmi_2008
YBR196C	chrII	612073	612236	164	Miura_2006
YBR197C	chrII	614772	615203	432	Zhang_2005
YBR199W	chrII	620304	620436	133	Nagalakshmi_2008
YBR200W	chrII	622528	622749	222	Yassour_2009
YBR201W	chrII	624212	624335	124	Nagalakshmi_2008
YBR202W	chrII	628310	628474	165	Nagalakshmi_2008
YBR204C	chrII	632041	632254	214	Yassour_2009
YBR207W	chrII	636544	636672	129	Xu_2009
YBR214W	chrII	652999	653135	137	Xu_2009
YBR217W	chrII	658393	658701	309	Nagalakshmi_2008
YBR218C	chrII	658614	658707	94	Nagalakshmi_2008
YBR221C	chrII	664921	665153	233	Nagalakshmi_2008
YBR230C	chrII	679383	679549	167	Zhang_2005
YBR230W-A	chrII	680563	680722	160	Miura_2006
YBR231C	chrII	682141	682179	39	Nagalakshmi_2008
YBR233W	chrII	684670	684800	131	Xu_2009
YBR233W-A	chrII	685262	685518	257	Miura_2006
YBR234C	chrII	685391	685438	48	Nagalakshmi_2008
YBR235W	chrII	690264	690360	97	Nagalakshmi_2008
YBR236C	chrII	690233	690383	151	Nagalakshmi_2008
YBR242W	chrII	705387	705455	69	Xu_2009
YBR244W	chrII	708017	708164	148	Xu_2009
YBR246W	chrII	712755	712850	96	Nagalakshmi_2008
YBR247C	chrII	712767	713004	238	Zhang_2005
YBR248C	chrII	714760	714807	48	Xu_2009
YBR249C	chrII	716779	716882	104	Miura_2006
YBR251W	chrII	722314	722394	81	Nagalakshmi_2008
YBR252W	chrII	723055	723127	73	Xu_2009
YBR253W	chrII	723636	723727	92	Nagalakshmi_2008
YBR255C-A	chrII	726520	726618	99	Nagalakshmi_2008
YBR255W	chrII	726541	726677	137	Nagalakshmi_2008
YBR256C	chrII	727309	727386	78	Zhang_2005
YBR257W	chrII	729725	729865	141	Nagalakshmi_2008
YBR258C	chrII	729694	729734	41	Nagalakshmi_2008
YBR259W	chrII	732454	732600	147	Xu_2009
YBR260C	chrII	732536	732639	104	Miura_2006
YBR261C	chrII	734705	734832	128	Xu_2009
YBR265W	chrII	739545	739682	138	Yassour_2009
YBR267W	chrII	741023	741142	120	Nagalakshmi_2008
YBR268W	chrII	741617	741805	189	Miura_2006
YBR269C	chrII	742005	742160	156	Miura_2006
YBR271W	chrII	746112	746216	105	Xu_2009
YBR272C	chrII	746191	746361	171	Yassour_2009
YBR274W	chrII	751178	751392	215	Xu_2009
YBR276C	chrII	757551	757620	70	Xu_2009
YBR279W	chrII	762595	762741	147	Nagalakshmi_2008
YBR280C	chrII	762638	762784	147	Miura_2006
YBR282W	chrII	768681	768787	107	Miura_2006
YBR283C	chrII	768792	768943	152	Xu_2009
YBR286W	chrII	776314	776379	66	Xu_2009
YBR287W	chrII	777855	778017	163	Xu_2009
YBR288C	chrII	777934	778012	79	Nagalakshmi_2008
YBR289W	chrII	782385	782436	52	Nagalakshmi_2008
YBR290W	chrII	783557	783659	103	Nagalakshmi_2008
YBR296C	chrII	796551	796798	248	Yassour_2009
YBR297W	chrII	801930	802147	218	Xu_2009
YCL001W	chrIII	112483	112563	81	Miura_2006
YCL002C	chrIII	110727	110808	82	Nagalakshmi_2008
YCL004W	chrIII	110671	110707	37	Nagalakshmi_2008
YCL005W-A	chrIII	107418	107548	131	Miura_2006
YCL009C	chrIII	104501	104619	119	Zhang_2005
YCL011C	chrIII	102016	102075	60	Nagalakshmi_2008
YCL012C	chrIII	101180	101317	138	Miura_2006
YCL017C	chrIII	92437	92777	341	Xu_2009
YCL025C	chrIII	75926	76018	93	Miura_2006
YCL028W	chrIII	71368	71455	88	Xu_2009
YCL030C	chrIII	65833	65934	102	Miura_2006
YCL031C	chrIII	64583	64675	93	Nagalakshmi_2008
YCL035C	chrIII	60716	60841	126	Miura_2006
YCL038C	chrIII	54864	54941	78	Xu_2009
YCL040W	chrIII	52341	52518	178	Nagalakshmi_2008
YCL043C	chrIII	48580	48653	74	Miura_2006
YCL044C	chrIII	46943	47111	169	Miura_2006
YCL045C	chrIII	44585	44623	39	Nagalakshmi_2008
YCL049C	chrIII	39643	39786	144	Miura_2006
YCL050C	chrIII	37751	37836	86	Nagalakshmi_2008
YCL054W	chrIII	33975	34092	118	Nagalakshmi_2008
YCL055W	chrIII	28937	29115	179	Nagalakshmi_2008
YCL056C	chrIII	26911	26925	15	Nagalakshmi_2008
YCL057C-A	chrIII	23848	24032	185	Miura_2006
YCL057W	chrIII	26907	27035	129	Nagalakshmi_2008
YCL058W-A	chrIII	23926	23990	65	Nagalakshmi_2008
YCL059C	chrIII	22324	22429	106	Xu_2009
YCL063W	chrIII	18562	18714	153	Nagalakshmi_2008
YCR003W	chrIII	119172	119290	119	Xu_2009
YCR004C	chrIII	119413	119575	163	Miura_2006
YCR005C	chrIII	120822	120946	125	Miura_2006
YCR007C	chrIII	125932	126011	80	Nagalakshmi_2008
YCR011C	chrIII	133668	133724	57	Xu_2009
YCR012W	chrIII	138997	139164	168	Nagalakshmi_2008
YCR016W	chrIII	144507	144675	169	Xu_2009
YCR017C	chrIII	144589	144773	185	Yassour_2009
YCR020W-B	chrIII	155557	156030	474	Miura_2006
YCR023C	chrIII	158305	158538	234	Nagalakshmi_2008
YCR026C	chrIII	163897	164111	215	Yassour_2009
YCR028C	chrIII	170157	170886	730	Miura_2006
YCR028C-A	chrIII	172746	172950	205	Nagalakshmi_2008
YCR031C	chrIII	177365	177500	136	Xu_2009
YCR034W	chrIII	191636	191875	240	Xu_2009
YCR035C	chrIII	191682	191834	153	Miura_2006
YCR036W	chrIII	194299	194381	83	Nagalakshmi_2008
YCR037C	chrIII	194318	194414	97	Xu_2009
YCR044C	chrIII	206798	206877	80	Nagalakshmi_2008
YCR046C	chrIII	209811	209914	104	Yassour_2009
YCR047C	chrIII	210573	210718	146	Xu_2009
YCR051W	chrIII	214740	214890	151	Yassour_2009
YCR052W	chrIII	216446	216655	210	Nagalakshmi_2008
YCR053W	chrIII	218242	218327	86	Nagalakshmi_2008
YCR061W	chrIII	227459	227816	358	Nagalakshmi_2008
YCR066W	chrIII	232964	233128	165	Nagalakshmi_2008
YCR067C	chrIII	233050	233125	76	Xu_2009
YCR069W	chrIII	240012	240132	121	Nagalakshmi_2008
YCR071C	chrIII	240034	240103	70	Xu_2009
YCR072C	chrIII	240746	240805	60	Xu_2009
YCR073W-A	chrIII	247911	248024	114	Nagalakshmi_2008
YCR075W-A	chrIII	249203	249298	96	Nagalakshmi_2008
YCR076C	chrIII	249221	249293	73	Miura_2006
YCR077C	chrIII	250101	250238	138	Nagalakshmi_2008
YCR079W	chrIII	254174	254299	126	Nagalakshmi_2008
YCR082W	chrIII	259270	259422	153	Miura_2006
YCR086W	chrIII	263965	264017	53	Miura_2006
YCR088W	chrIII	266847	266960	114	Yassour_2009
YCR094W	chrIII	287938	288205	268	Xu_2009
YCR095W-A	chrIII	289798	291204	1407	Xu_2009
YCR097W	chrIII	294322	294338	17	Nagalakshmi_2008
YDL001W	chrIV	449277	449378	102	Xu_2009
YDL003W	chrIV	446384	446490	107	Xu_2009
YDL004W	chrIV	443512	443786	275	Yassour_2009
YDL006W	chrIV	440755	440870	116	Nagalakshmi_2008
YDL007W	chrIV	439361	439444	84	Nagalakshmi_2008
YDL008W	chrIV	433995	434115	121	Miura_2006
YDL010W	chrIV	433026	433283	258	Nagalakshmi_2008
YDL012C	chrIV	430938	431108	171	Miura_2006
YDL013W	chrIV	430927	431010	84	Nagalakshmi_2008
YDL014W	chrIV	428348	428589	242	Xu_2009
YDL018C	chrIV	422648	422833	186	Nagalakshmi_2008
YDL019C	chrIV	417574	417663	90	Miura_2006
YDL020C	chrIV	414971	415113	143	Miura_2006
YDL022W	chrIV	413001	413114	114	Nagalakshmi_2008
YDL025C	chrIV	405127	405344	218	Nagalakshmi_2008
YDL027C	chrIV	403499	403695	197	Miura_2006
YDL029W	chrIV	400639	400793	155	Miura_2006
YDL030W	chrIV	399130	399220	91	Yassour_2009
YDL031W	chrIV	397205	397285	81	Xu_2009
YDL040C	chrIV	378789	378874	86	Yassour_2009
YDL042C	chrIV	376638	376757	120	Xu_2009
YDL043C	chrIV	375588	375680	93	Nagalakshmi_2008
YDL044C	chrIV	373892	373967	76	Xu_2009
YDL045W-A	chrIV	372536	372667	132	Miura_2006
YDL046W	chrIV	371762	372031	270	Nagalakshmi_2008
YDL052C	chrIV	362603	362672	70	Miura_2006
YDL053C	chrIV	361516	361699	184	Miura_2006
YDL055C	chrIV	355455	355674	220	Miura_2006
YDL061C	chrIV	340402	340628	227	Miura_2006
YDL064W	chrIV	338071	338231	161	Xu_2009
YDL065C	chrIV	336143	336249	107	Miura_2006
YDL066W	chrIV	336122	336267	146	Nagalakshmi_2008
YDL067C	chrIV	333961	334217	257	Miura_2006
YDL070W	chrIV	332941	333113	173	Xu_2009
YDL072C	chrIV	329762	329836	75	Miura_2006
YDL074C	chrIV	323963	324047	85	Xu_2009
YDL075W	chrIV	322989	323070	82	Miura_2006
YDL076C	chrIV	320442	320668	227	Yassour_2009
YDL078C	chrIV	315204	315357	154	Miura_2006
YDL081C	chrIV	309695	309802	108	Miura_2006
YDL082W	chrIV	309389	309530	142	Miura_2006
YDL083C	chrIV	306797	306926	130	Yassour_2009
YDL084W	chrIV	306578	306686	109	Nagalakshmi_2008
YDL085C-A	chrIV	302300	302464	165	Miura_2006
YDL086W	chrIV	302235	302306	72	Xu_2009
YDL091C	chrIV	293317	293392	76	Miura_2006
YDL092W	chrIV	293222	293367	146	Miura_2006
YDL093W	chrIV	292141	292408	268	Nagalakshmi_2008
YDL095W	chrIV	289513	289607	95	Nagalakshmi_2008
YDL097C	chrIV	285317	285391	75	Miura_2006
YDL099W	chrIV	284445	284532	88	Xu_2009
YDL100C	chrIV	282057	282112	56	Miura_2006
YDL101C	chrIV	280180	280307	128	Nagalakshmi_2008
YDL102W	chrIV	280166	280288	123	Nagalakshmi_2008
YDL103C	chrIV	274973	275148	176	Xu_2009
YDL110C	chrIV	264324	264512	189	Miura_2006
YDL113C	chrIV	256538	256633	96	Miura_2006
YDL116W	chrIV	253747	253804	58	Nagalakshmi_2008
YDL120W	chrIV	246448	246614	167	Nagalakshmi_2008
YDL121C	chrIV	245007	245133	127	Zhang_2005
YDL122W	chrIV	244982	245062	81	Nagalakshmi_2008
YDL123W	chrIV	241841	242238	398	Xu_2009
YDL124W	chrIV	241198	241269	72	Nagalakshmi_2008
YDL125C	chrIV	238880	239019	140	Miura_2006
YDL126C	chrIV	236100	236157	58	Miura_2006
YDL128W	chrIV	233888	234060	173	Nagalakshmi_2008
YDL130W	chrIV	230528	230669	142	Yassour_2009
YDL130W-A	chrIV	229432	229617	186	Miura_2006
YDL131W	chrIV	228716	228827	112	Miura_2006
YDL133C-A	chrIV	221489	221724	236	Miura_2006
YDL133W	chrIV	223741	223847	107	Yassour_2009
YDL134C	chrIV	219575	219662	88	Nagalakshmi_2008
YDL135C	chrIV	218613	218680	68	Zhang_2005
YDL136W	chrIV	218368	218503	136	Miura_2006
YDL137W	chrIV	217075	217226	152	Nagalakshmi_2008
YDL138W	chrIV	215643	215786	144	Nagalakshmi_2008
YDL141W	chrIV	205112	205374	263	Nagalakshmi_2008
YDL143W	chrIV	201583	201699	117	Xu_2009
YDL144C	chrIV	198564	198662	99	Yassour_2009
YDL146W	chrIV	194226	194349	124	Nagalakshmi_2008
YDL147W	chrIV	192262	192407	146	Nagalakshmi_2008
YDL153C	chrIV	181104	181186	83	Zhang_2005
YDL155W	chrIV	178057	178187	131	Nagalakshmi_2008
YDL157C	chrIV	173948	174232	285	Nagalakshmi_2008
YDL159W	chrIV	174029	174155	127	Nagalakshmi_2008
YDL161W	chrIV	169079	169186	108	Nagalakshmi_2008
YDL165W	chrIV	164866	164915	50	Miura_2006
YDL167C	chrIV	160807	160995	189	Nagalakshmi_2008
YDL168W	chrIV	160765	160816	52	Nagalakshmi_2008
YDL170W	chrIV	157905	158051	147	Nagalakshmi_2008
YDL174C	chrIV	145735	145826	92	Miura_2006
YDL175C	chrIV	144260	144484	225	Xu_2009
YDL177C	chrIV	141120	141209	90	Nagalakshmi_2008
YDL178W	chrIV	141115	141190	76	Nagalakshmi_2008
YDL181W	chrIV	135437	135574	138	Miura_2006
YDL182W	chrIV	134724	134817	94	Miura_2006
YDL184C	chrIV	130174	130407	234	Miura_2006
YDL185W	chrIV	130003	130168	166	Xu_2009
YDL188C	chrIV	123827	123865	39	Xu_2009
YDL191W	chrIV	118518	118704	187	Xu_2009
YDL192W	chrIV	116867	117041	175	Xu_2009
YDL193W	chrIV	115800	115999	200	Xu_2009
YDL195W	chrIV	111030	111171	142	Nagalakshmi_2008
YDL198C	chrIV	103514	103649	136	Miura_2006
YDL201W	chrIV	100422	100509	88	Nagalakshmi_2008
YDL204W	chrIV	95787	95965	179	Nagalakshmi_2008
YDL205C	chrIV	92530	92762	233	Zhang_2005
YDL207W	chrIV	89865	89938	74	Nagalakshmi_2008
YDL208W	chrIV	87983	88120	138	Miura_2006
YDL212W	chrIV	79059	79203	145	Nagalakshmi_2008
YDL213C	chrIV	77217	77289	73	Xu_2009
YDL217C	chrIV	67576	67983	408	Miura_2006
YDL219W	chrIV	65766	65826	61	Nagalakshmi_2008
YDL224C	chrIV	54262	54397	136	Miura_2006
YDL226C	chrIV	50925	51115	191	Miura_2006
YDL229W	chrIV	45907	46014	108	Nagalakshmi_2008
YDL230W	chrIV	43708	43768	61	Miura_2006
YDL232W	chrIV	38598	38890	293	Miura_2006
YDL233W	chrIV	38174	38350	177	Yassour_2009
YDL235C	chrIV	33305	33415	111	Miura_2006
YDL236W	chrIV	33235	33416	182	Nagalakshmi_2008
YDL237W	chrIV	31830	32065	236	Xu_2009
YDL241W	chrIV	21007	21255	249	Miura_2006
YDR001C	chrIV	450140	450220	81	Xu_2009
YDR002W	chrIV	453651	453837	187	Nagalakshmi_2008
YDR003W	chrIV	454755	454818	64	Nagalakshmi_2008
YDR005C	chrIV	456675	456836	162	Miura_2006
YDR007W	chrIV	462517	462632	116	Nagalakshmi_2008
YDR009W	chrIV	464997	465606	610	Xu_2009
YDR012W	chrIV	472942	473047	106	Yassour_2009
YDR013W	chrIV	473784	473877	94	Miura_2006
YDR016C	chrIV	478364	478474	111	Xu_2009
YDR022C	chrIV	487990	488072	83	Miura_2006
YDR023W	chrIV	490897	491055	159	Nagalakshmi_2008
YDR025W	chrIV	492325	492421	97	Miura_2006
YDR027C	chrIV	494577	494649	73	Xu_2009
YDR031W	chrIV	503864	504054	191	Miura_2006
YDR032C	chrIV	503947	504099	153	Zhang_2005
YDR033W	chrIV	509110	509591	482	Xu_2009
YDR034C	chrIV	509665	509737	73	Xu_2009
YDR034W-B	chrIV	521470	521705	236	Miura_2006
YDR035W	chrIV	522929	523158	230	Nagalakshmi_2008
YDR036C	chrIV	523092	523211	120	Xu_2009
YDR037W	chrIV	527216	527281	66	Nagalakshmi_2008
YDR041W	chrIV	540415	540575	161	Xu_2009
YDR042C	chrIV	540499	540601	103	Miura_2006
YDR044W	chrIV	547629	547765	137	Nagalakshmi_2008
YDR045C	chrIV	547795	547978	184	Miura_2006
YDR046C	chrIV	548699	548762	64	Xu_2009
YDR049W	chrIV	555153	555254	102	Nagalakshmi_2008
YDR050C	chrIV	555650	555726	77	Miura_2006
YDR051C	chrIV	557015	557056	42	Nagalakshmi_2008
YDR054C	chrIV	561103	561440	338	Nagalakshmi_2008
YDR055W	chrIV	564862	565020	159	Nagalakshmi_2008
YDR056C	chrIV	564864	565023	160	Xu_2009
YDR058C	chrIV	567592	567723	132	Xu_2009
YDR059C	chrIV	569086	569234	149	Miura_2006
YDR060W	chrIV	573727	573814	88	Nagalakshmi_2008
YDR061W	chrIV	575784	575898	115	Nagalakshmi_2008
YDR062W	chrIV	578160	578446	287	Nagalakshmi_2008
YDR063W	chrIV	579113	579231	119	Xu_2009
YDR064W	chrIV	580453	580559	107	Miura_2006
YDR066C	chrIV	581805	581908	104	Nagalakshmi_2008
YDR068W	chrIV	584646	584819	174	Nagalakshmi_2008
YDR070C	chrIV	587946	588098	153	Miura_2006
YDR071C	chrIV	588753	588827	75	Miura_2006
YDR072C	chrIV	589702	589761	60	Miura_2006
YDR073W	chrIV	592949	593195	247	Miura_2006
YDR074W	chrIV	596584	596821	238	Nagalakshmi_2008
YDR075W	chrIV	598083	598232	150	Nagalakshmi_2008
YDR077W	chrIV	601810	602139	330	Nagalakshmi_2008
YDR079C-A	chrIV	603388	603593	206	Yassour_2009
YDR079W	chrIV	603400	603689	290	Nagalakshmi_2008
YDR083W	chrIV	613252	613366	115	Nagalakshmi_2008
YDR086C	chrIV	616728	616928	201	Miura_2006
YDR087C	chrIV	617400	617470	71	Miura_2006
YDR089W	chrIV	624722	624813	92	Nagalakshmi_2008
YDR091C	chrIV	626374	626708	335	Nagalakshmi_2008
YDR092W	chrIV	630606	630823	218	Yassour_2009
YDR100W	chrIV	655445	655630	186	Miura_2006
YDR105C	chrIV	665270	665349	80	Nagalakshmi_2008
YDR115W	chrIV	682493	682702	210	Xu_2009
YDR116C	chrIV	682630	682724	95	Xu_2009
YDR117C	chrIV	683897	683946	50	Yassour_2009
YDR119W	chrIV	690534	690588	55	Xu_2009
YDR119W-A	chrIV	691215	691484	270	Miura_2006
YDR121W	chrIV	694176	694289	114	Miura_2006
YDR122W	chrIV	697895	698038	144	Xu_2009
YDR123C	chrIV	698022	698554	533	Xu_2009
