gene	chr	5utr_start	5utr_end	length	source
YBR069C	chrII	378434	378548	115	Nagalakshmi_2008
YBR070C	chrII	379935	379998	64	Xu_2009
YBR071W	chrII	380301	380411	111	Yassour_2009
YBR074W	chrII	386282	386286	5	Nagalakshmi_2008
YBR078W	chrII	392948	393123	176	Xu_2009
YBR079C	chrII	398278	398302	25	Nagalakshmi_2008
YBR080C	chrII	400891	400932	42	Nagalakshmi_2008
YBR082C	chrII	407170	407281	112	Yassour_2009
YBR084C-A	chrII	415262	415389	128	Miura_2006
YBR084W	chrII	410986	411054	69	Nagalakshmi_2008
YBR085C-A	chrII	419165	419265	101	Xu_2009
YBR085W	chrII	415875	415983	109	Xu_2009
YBR086C	chrII	423042	423321	280	Xu_2009
YBR087W	chrII	423736	423765	30	Zhang_2005
YBR088C	chrII	425767	425814	48	Xu_2009
YBR091C	chrII	427485	427511	27	Nagalakshmi_2008
YBR092C	chrII	429102	429130	29	Xu_2009
YBR093C	chrII	430952	430992	41	Xu_2009
YBR094W	chrII	431986	432036	51	Yassour_2009
YBR096W	chrII	435940	436021	82	Miura_2006
YBR101C	chrII	444694	444743	50	Xu_2009
YBR102C	chrII	447324	447387	64	Nagalakshmi_2008
YBR104W	chrII	449580	449667	88	Xu_2009
YBR105C	chrII	451970	452000	31	Yassour_2009
YBR106W	chrII	452584	452658	75	Xu_2009
YBR109C	chrII	458363	458448	86	Xu_2009
YBR111C	chrII	461874	461881	8	Nagalakshmi_2008
YBR111W-A	chrII	462099	462139	41	Zhang_2005
YBR114W	chrII	467161	467248	88	Yassour_2009
YBR118W	chrII	477560	477671	112	Zhang_2005
YBR119W	chrII	479269	479338	70	Nagalakshmi_2008
YBR120C	chrII	480924	480993	70	Xu_2009
YBR122C	chrII	484504	484547	44	Nagalakshmi_2008
YBR123C	chrII	486692	486759	68	Xu_2009
YBR126C	chrII	490393	490499	107	Xu_2009
YBR127C	chrII	492823	492886	64	Xu_2009
YBR129C	chrII	495340	495374	35	Xu_2009
YBR130C	chrII	496870	496938	69	Yassour_2009
YBR137W	chrII	512944	513044	101	Zhang_2005
YBR139W	chrII	515654	515664	11	Xu_2009
YBR145W	chrII	533701	533762	62	Nagalakshmi_2008
YBR146W	chrII	535189	535260	72	Yassour_2009
YBR149W	chrII	539929	539987	59	Zhang_2005
YBR151W	chrII	544883	545028	146	Nagalakshmi_2008
YBR154C	chrII	549010	549132	123	Xu_2009
YBR155W	chrII	549710	549771	62	Xu_2009
YBR158W	chrII	556287	556549	263	Nagalakshmi_2008
YBR159W	chrII	558642	558685	44	Xu_2009
YBR160W	chrII	559967	560078	112	Xu_2009
YBR162W-A	chrII	565179	565231	53	Xu_2009
YBR164C	chrII	568427	568572	146	Nagalakshmi_2008
YBR166C	chrII	571201	571252	52	Nagalakshmi_2008
YBR170C	chrII	578087	578136	50	Nagalakshmi_2008
YBR171W	chrII	578326	578364	39	Xu_2009
YBR172C	chrII	581373	581491	119	Yassour_2009
YBR173C	chrII	582173	582211	39	Miura_2006
YBR176W	chrII	583624	583720	97	Nagalakshmi_2008
YBR177C	chrII	586163	586184	22	Xu_2009
YBR181C	chrII	592775	592803	29	Nagalakshmi_2008
YBR185C	chrII	599960	599978	19	Yassour_2009
YBR187W	chrII	602513	602634	122	Xu_2009
YBR188C	chrII	604108	604182	75	Yassour_2009
YBR189W	chrII	604465	604508	44	Zhang_2005
YBR191W	chrII	606249	606270	22	Miura_2006
YBR192W	chrII	607490	607652	163	Nagalakshmi_2008
YBR193C	chrII	609754	609794	41	Xu_2009
YBR196C	chrII	613901	614002	102	Xu_2009
YBR197C	chrII	615857	615867	11	Xu_2009
YBR199W	chrII	618817	618909	93	Yassour_2009
YBR200W	chrII	620777	620872	96	Yassour_2009
YBR201W	chrII	623441	623576	136	Nagalakshmi_2008
YBR202W	chrII	625708	625772	65	Yassour_2009
YBR204C	chrII	633382	633447	66	Yassour_2009
YBR207W	chrII	635067	635146	80	Xu_2009
YBR214W	chrII	651337	651415	79	Zhang_2005
YBR217W	chrII	657782	657832	51	Xu_2009
YBR218C	chrII	662250	662392	143	Nagalakshmi_2008
YBR221C	chrII	666254	666485	232	Xu_2009
YBR230C	chrII	680051	680116	66	Miura_2006
YBR230W-A	chrII	680285	680362	78	Xu_2009
YBR231C	chrII	683091	683183	93	Nagalakshmi_2008
YBR233W	chrII	683350	683428	79	Miura_2006
YBR233W-A	chrII	684939	684977	39	Nagalakshmi_2008
YBR234C	chrII	686593	686638	46	Nagalakshmi_2008
YBR235W	chrII	686821	686901	81	Xu_2009
YBR236C	chrII	691694	691740	47	Xu_2009
YBR242W	chrII	704503	704670	168	Nagalakshmi_2008
YBR244W	chrII	707322	707528	207	Yassour_2009
YBR246W	chrII	711557	711591	35	Nagalakshmi_2008
YBR247C	chrII	714456	714476	21	Yassour_2009
YBR248C	chrII	716466	716561	96	Nagalakshmi_2008
YBR249C	chrII	717995	718141	147	Xu_2009
YBR251W	chrII	721323	721390	68	Xu_2009
YBR252W	chrII	722583	722611	29	Xu_2009
YBR253W	chrII	723221	723270	50	Nagalakshmi_2008
YBR255C-A	chrII	727075	727111	37	Xu_2009
YBR255W	chrII	724421	724456	36	Yassour_2009
YBR256C	chrII	728103	728137	35	Xu_2009
YBR257W	chrII	728846	728885	40	Xu_2009
YBR258C	chrII	730163	730185	23	Nagalakshmi_2008
YBR259W	chrII	730342	730387	46	Xu_2009
YBR260C	chrII	734640	734680	41	Nagalakshmi_2008
YBR261C	chrII	735531	735567	37	Xu_2009
YBR265W	chrII	738532	738582	51	Yassour_2009
YBR267W	chrII	739825	739841	17	Xu_2009
YBR268W	chrII	741270	741299	30	Zhang_2005
YBR269C	chrII	742577	742647	71	Xu_2009
YBR271W	chrII	744827	744852	26	Xu_2009
YBR272C	chrII	747804	747818	15	Nagalakshmi_2008
YBR274W	chrII	749545	749594	50	Yassour_2009
YBR276C	chrII	760044	760159	116	Xu_2009
YBR279W	chrII	761213	761257	45	Yassour_2009
YBR280C	chrII	764698	764742	45	Xu_2009
YBR282W	chrII	768203	768240	38	Nagalakshmi_2008
YBR283C	chrII	770416	770605	190	Xu_2009
YBR286W	chrII	774671	774700	30	Nagalakshmi_2008
YBR287W	chrII	776504	776571	68	Xu_2009
YBR288C	chrII	779464	779491	28	Nagalakshmi_2008
YBR289W	chrII	779656	779667	12	Nagalakshmi_2008
YBR290W	chrII	782551	782591	41	Yassour_2009
YBR296C	chrII	798523	798600	78	Nagalakshmi_2008
YBR297W	chrII	800485	800523	39	Xu_2009
YCL001W	chrIII	111847	111916	70	Xu_2009
YCL002C	chrIII	111676	111700	25	Nagalakshmi_2008
YCL004W	chrIII	109028	109105	78	Nagalakshmi_2008
YCL005W-A	chrIII	106999	107023	25	Zhang_2005
YCL009C	chrIII	105549	105594	46	Xu_2009
YCL011C	chrIII	103359	103407	49	Xu_2009
YCL012C	chrIII	101789	101829	41	Nagalakshmi_2008
YCL017C	chrIII	94271	94385	115	Nagalakshmi_2008
YCL025C	chrIII	77920	77950	31	Nagalakshmi_2008
YCL028W	chrIII	70092	70150	59	Xu_2009
YCL030C	chrIII	68334	68393	60	Nagalakshmi_2008
YCL031C	chrIII	65569	65601	33	Xu_2009
YCL035C	chrIII	61174	61237	64	Miura_2006
YCL038C	chrIII	56528	56611	84	Xu_2009
YCL040W	chrIII	50788	50838	51	Miura_2006
YCL043C	chrIII	50222	50286	65	Nagalakshmi_2008
YCL044C	chrIII	48365	48405	41	Xu_2009
YCL045C	chrIII	46906	46945	40	Xu_2009
YCL049C	chrIII	40725	40779	55	Yassour_2009
YCL050C	chrIII	38802	38863	62	Nagalakshmi_2008
YCL054W	chrIII	31419	31449	31	Yassour_2009
YCL055W	chrIII	27894	27929	36	Miura_2006
YCL056C	chrIII	27360	27393	34	Nagalakshmi_2008
YCL057C-A	chrIII	24326	24377	52	Miura_2006
YCL057W	chrIII	24761	24768	8	Miura_2006
YCL058W-A	chrIII	23563	23584	22	Xu_2009
YCL059C	chrIII	23380	23429	50	Xu_2009
YCL063W	chrIII	17251	17290	40	Xu_2009
YCR003W	chrIII	118590	118620	31	Miura_2006
YCR004C	chrIII	120319	120518	200	Nagalakshmi_2008
YCR005C	chrIII	122329	122388	60	Nagalakshmi_2008
YCR007C	chrIII	126731	126959	229	Miura_2006
YCR011C	chrIII	136874	137024	151	Nagalakshmi_2008
YCR012W	chrIII	137707	137746	40	Miura_2006
YCR016W	chrIII	143603	143634	32	Xu_2009
YCR017C	chrIII	147635	147686	52	Nagalakshmi_2008
YCR020W-B	chrIII	155280	155320	41	Xu_2009
YCR023C	chrIII	160374	160457	84	Xu_2009
YCR026C	chrIII	166340	166413	74	Yassour_2009
YCR028C	chrIII	172425	172523	99	Xu_2009
YCR028C-A	chrIII	173441	173527	87	Miura_2006
YCR031C	chrIII	178221	178280	60	Miura_2006
YCR034W	chrIII	190553	190592	40	Xu_2009
YCR035C	chrIII	193019	193047	29	Nagalakshmi_2008
YCR036W	chrIII	193246	193297	52	Yassour_2009
YCR037C	chrIII	197186	197229	44	Xu_2009
YCR044C	chrIII	207951	207991	41	Nagalakshmi_2008
YCR046C	chrIII	210424	210461	38	Miura_2006
YCR047C	chrIII	211546	211649	104	Nagalakshmi_2008
YCR051W	chrIII	214054	214071	18	Xu_2009
YCR052W	chrIII	214962	214994	33	Yassour_2009
YCR053W	chrIII	216600	216697	98	Zhang_2005
YCR061W	chrIII	225506	225563	58	Nagalakshmi_2008
YCR066W	chrIII	231457	231500	44	Xu_2009
YCR067C	chrIII	236323	236441	119	Miura_2006
YCR069W	chrIII	238896	239055	160	Xu_2009
YCR071C	chrIII	240544	240596	53	Miura_2006
YCR072C	chrIII	242353	242386	34	Nagalakshmi_2008
YCR073W-A	chrIII	246946	246963	18	Miura_2006
YCR075W-A	chrIII	248948	248975	28	Xu_2009
YCR076C	chrIII	250046	250067	22	Nagalakshmi_2008
YCR077C	chrIII	252629	252670	42	Xu_2009
YCR079W	chrIII	252782	252845	64	Yassour_2009
YCR082W	chrIII	258843	258883	41	Miura_2006
YCR086W	chrIII	263303	263392	90	Xu_2009
YCR088W	chrIII	265023	265068	46	Nagalakshmi_2008
YCR094W	chrIII	286700	286762	63	Nagalakshmi_2008
YCR095W-A	chrIII	289500	289639	140	Xu_2009
YCR097W	chrIII	293824	293835	12	Zhang_2005
YDL001W	chrIV	447917	447984	68	Xu_2009
YDL003W	chrIV	444572	444683	112	Nagalakshmi_2008
YDL004W	chrIV	442976	443029	54	Zhang_2005
YDL006W	chrIV	439526	439909	384	Miura_2006
YDL007W	chrIV	438015	438047	33	Miura_2006
YDL008W	chrIV	433468	433497	30	Zhang_2005
YDL010W	chrIV	432287	432330	44	Miura_2006
YDL012C	chrIV	431518	431541	24	Miura_2006
YDL013W	chrIV	428933	429067	135	Miura_2006
YDL014W	chrIV	427216	427364	149	Miura_2006
YDL018C	chrIV	423511	423583	73	Xu_2009
YDL019C	chrIV	421515	421727	213	Nagalakshmi_2008
YDL020C	chrIV	416709	416957	249	Miura_2006
YDL022W	chrIV	411752	411825	74	Miura_2006
YDL025C	chrIV	407207	407402	196	Miura_2006
YDL027C	chrIV	404958	405003	46	Xu_2009
YDL029W	chrIV	399303	399340	38	Xu_2009
YDL030W	chrIV	397459	397537	79	Xu_2009
YDL031W	chrIV	394134	394217	84	Yassour_2009
YDL040C	chrIV	381439	381500	62	Nagalakshmi_2008
YDL042C	chrIV	378446	378513	68	Xu_2009
YDL043C	chrIV	376481	376527	47	Nagalakshmi_2008
YDL044C	chrIV	375290	375323	34	Nagalakshmi_2008
YDL045W-A	chrIV	372195	372248	54	Miura_2006
YDL046W	chrIV	371156	371240	85	Miura_2006
YDL052C	chrIV	363584	363635	52	Nagalakshmi_2008
YDL053C	chrIV	362257	362454	198	Xu_2009
YDL055C	chrIV	356760	356908	149	Nagalakshmi_2008
YDL061C	chrIV	340799	341280	482	Miura_2006
YDL064W	chrIV	337434	337487	54	Yassour_2009
YDL065C	chrIV	337278	337318	41	Nagalakshmi_2008
YDL066W	chrIV	334679	334835	157	Xu_2009
YDL067C	chrIV	334397	334615	219	Miura_2006
YDL070W	chrIV	330988	331024	37	Miura_2006
YDL072C	chrIV	330448	330510	63	Nagalakshmi_2008
YDL074C	chrIV	326150	326236	87	Nagalakshmi_2008
YDL075W	chrIV	322191	322226	36	Xu_2009
YDL076C	chrIV	321553	321704	152	Miura_2006
YDL078C	chrIV	316389	316460	72	Xu_2009
YDL081C	chrIV	310123	310216	94	Miura_2006
YDL082W	chrIV	308357	308424	68	Zhang_2005
YDL083C	chrIV	307790	307858	69	Miura_2006
YDL084W	chrIV	305054	305237	184	Zhang_2005
YDL085C-A	chrIV	302671	302735	65	Miura_2006
YDL086W	chrIV	301386	301413	28	Nagalakshmi_2008
YDL091C	chrIV	294760	294853	94	Xu_2009
YDL092W	chrIV	292759	292781	23	Miura_2006
YDL093W	chrIV	289881	289909	29	Xu_2009
YDL095W	chrIV	286980	287059	80	Nagalakshmi_2008
YDL097C	chrIV	286696	286740	45	Xu_2009
YDL099W	chrIV	283352	283419	68	Miura_2006
YDL100C	chrIV	283177	283212	36	Nagalakshmi_2008
YDL101C	chrIV	281849	281903	55	Xu_2009
YDL102W	chrIV	276792	276872	81	Nagalakshmi_2008
YDL103C	chrIV	276582	276654	73	Xu_2009
YDL110C	chrIV	264965	265021	57	Miura_2006
YDL113C	chrIV	258556	258618	63	Nagalakshmi_2008
YDL116W	chrIV	251526	251566	41	Zhang_2005
YDL120W	chrIV	245834	245923	90	Miura_2006
YDL121C	chrIV	245583	245617	35	Miura_2006
YDL122W	chrIV	242312	242552	241	Miura_2006
YDL123W	chrIV	241384	241418	35	Miura_2006
YDL124W	chrIV	240166	240259	94	Yassour_2009
YDL125C	chrIV	239607	239816	210	Miura_2006
YDL126C	chrIV	238665	238714	50	Nagalakshmi_2008
YDL128W	chrIV	232565	232652	88	Nagalakshmi_2008
YDL130W	chrIV	229795	229906	112	Zhang_2005
YDL130W-A	chrIV	229107	229171	65	Miura_2006
YDL131W	chrIV	227344	227393	50	Nagalakshmi_2008
YDL133C-A	chrIV	221802	221932	131	Miura_2006
YDL133W	chrIV	222279	222427	149	Xu_2009
YDL134C	chrIV	220772	221255	484	Xu_2009
YDL135C	chrIV	219289	219333	45	Nagalakshmi_2008
YDL136W	chrIV	217536	217600	65	Zhang_2005
YDL137W	chrIV	216010	216529	520	Miura_2006
YDL138W	chrIV	213066	213351	286	Xu_2009
YDL141W	chrIV	202801	203039	239	Yassour_2009
YDL143W	chrIV	199957	199996	40	Nagalakshmi_2008
YDL144C	chrIV	199733	199770	38	Xu_2009
YDL146W	chrIV	192560	192750	191	Yassour_2009
YDL147W	chrIV	190853	190924	72	Yassour_2009
YDL153C	chrIV	183019	183050	32	Xu_2009
YDL155W	chrIV	176634	176773	140	Xu_2009
YDL157C	chrIV	174589	174623	35	Miura_2006
YDL159W	chrIV	172436	172481	46	Miura_2006
YDL161W	chrIV	167699	167714	16	Miura_2006
YDL165W	chrIV	164234	164290	57	Miura_2006
YDL167C	chrIV	163155	163210	56	Nagalakshmi_2008
YDL168W	chrIV	159534	159604	71	Xu_2009
YDL170W	chrIV	156291	156318	28	Nagalakshmi_2008
YDL174C	chrIV	147590	147617	28	Yassour_2009
YDL175C	chrIV	145519	145545	27	Nagalakshmi_2008
YDL177C	chrIV	141722	141773	52	Miura_2006
YDL178W	chrIV	139487	139522	36	Xu_2009
YDL181W	chrIV	135008	135179	172	Xu_2009
YDL182W	chrIV	133400	133437	38	Miura_2006
YDL184C	chrIV	130485	130548	64	Miura_2006
YDL185W	chrIV	126680	126787	108	Xu_2009
YDL188C	chrIV	124999	125180	182	Xu_2009
YDL191W	chrIV	117609	117664	56	Miura_2006
YDL192W	chrIV	116212	116321	110	Yassour_2009
YDL193W	chrIV	114566	114672	107	Miura_2006
YDL195W	chrIV	107090	107208	119	Xu_2009
YDL198C	chrIV	104552	104668	117	Miura_2006
YDL201W	chrIV	99494	99561	68	Xu_2009
YDL204W	chrIV	94108	94605	498	Zhang_2005
YDL205C	chrIV	93746	93929	184	Xu_2009
YDL207W	chrIV	88218	88248	31	Xu_2009
YDL208W	chrIV	87468	87512	45	Xu_2009
YDL212W	chrIV	78356	78426	71	Zhang_2005
YDL213C	chrIV	77967	78243	277	Yassour_2009
YDL217C	chrIV	68607	68778	172	Xu_2009
YDL219W	chrIV	65197	65242	46	Nagalakshmi_2008
YDL224C	chrIV	56347	56710	364	Nagalakshmi_2008
YDL226C	chrIV	52174	52204	31	Xu_2009
YDL229W	chrIV	43974	44065	92	Miura_2006
YDL230W	chrIV	42648	42700	53	Nagalakshmi_2008
YDL232W	chrIV	38439	38487	49	Miura_2006
YDL233W	chrIV	36782	36797	16	Yassour_2009
YDL235C	chrIV	33919	34032	114	Miura_2006
YDL236W	chrIV	32230	32296	67	Miura_2006
YDL237W	chrIV	30626	30657	32	Xu_2009
YDL241W	chrIV	20558	20635	78	Nagalakshmi_2008
YDR001C	chrIV	452476	452728	253	Miura_2006
YDR002W	chrIV	452969	453045	77	Miura_2006
YDR003W	chrIV	454086	454122	37	Miura_2006
YDR005C	chrIV	458104	458246	143	Nagalakshmi_2008
YDR007W	chrIV	461809	461842	34	Zhang_2005
YDR009W	chrIV	463276	463434	159	Miura_2006
YDR012W	chrIV	471806	471853	48	Zhang_2005
YDR013W	chrIV	473142	473157	16	Miura_2006
YDR016C	chrIV	478759	478798	40	Xu_2009
YDR022C	chrIV	488663	488719	57	Miura_2006
YDR023W	chrIV	489463	489508	46	Miura_2006
YDR025W	chrIV	491475	491515	41	Miura_2006
YDR027C	chrIV	497319	497441	123	Nagalakshmi_2008
YDR031W	chrIV	503452	503498	47	Miura_2006
YDR032C	chrIV	504696	504827	132	Xu_2009
YDR033W	chrIV	507780	508147	368	Miura_2006
YDR034C	chrIV	512110	512261	152	Nagalakshmi_2008
YDR034W-B	chrIV	521222	521314	93	Miura_2006
YDR035W	chrIV	521741	521816	76	Yassour_2009
YDR036C	chrIV	524714	524786	73	Nagalakshmi_2008
YDR037W	chrIV	524991	525440	450	Miura_2006
YDR041W	chrIV	539769	539803	35	Miura_2006
YDR042C	chrIV	541204	541266	63	Miura_2006
YDR044W	chrIV	546391	546642	252	Yassour_2009
YDR045C	chrIV	548311	548465	155	Nagalakshmi_2008
YDR046C	chrIV	550577	550689	113	Nagalakshmi_2008
YDR049W	chrIV	553229	553254	26	Xu_2009
YDR050C	chrIV	556473	556531	59	Xu_2009
YDR051C	chrIV	558061	558106	46	Nagalakshmi_2008
YDR054C	chrIV	562328	562501	174	Nagalakshmi_2008
YDR055W	chrIV	563467	563527	61	Miura_2006
YDR056C	chrIV	565641	565724	84	Yassour_2009
YDR058C	chrIV	568704	568736	33	Yassour_2009
YDR059C	chrIV	569771	569836	66	Miura_2006
YDR060W	chrIV	570600	570649	50	Nagalakshmi_2008
YDR061W	chrIV	574110	574164	55	Nagalakshmi_2008
YDR062W	chrIV	576080	576474	395	Xu_2009
YDR063W	chrIV	578502	578663	162	Miura_2006
YDR064W	chrIV	579379	579458	80	Yassour_2009
YDR066C	chrIV	582499	582587	89	Xu_2009
YDR068W	chrIV	583674	583713	40	Miura_2006
YDR070C	chrIV	588380	588557	178	Miura_2006
YDR071C	chrIV	589403	589465	63	Miura_2006
YDR072C	chrIV	591345	591470	126	Nagalakshmi_2008
YDR073W	chrIV	592356	592439	84	Miura_2006
YDR074W	chrIV	593794	593893	100	Yassour_2009
YDR075W	chrIV	596983	597156	174	Nagalakshmi_2008
YDR077W	chrIV	600721	600793	73	Nagalakshmi_2008
YDR079C-A	chrIV	603812	603882	71	Miura_2006
YDR079W	chrIV	603034	603064	31	Miura_2006
YDR083W	chrIV	612061	612073	13	Xu_2009
YDR086C	chrIV	617171	617280	110	Miura_2006
YDR087C	chrIV	618307	618335	29	Nagalakshmi_2008
YDR089W	chrIV	621992	622112	121	Xu_2009
YDR091C	chrIV	628535	628606	72	Xu_2009
YDR092W	chrIV	629786	629876	91	Miura_2006
YDR100W	chrIV	654968	655013	46	Miura_2006
YDR105C	chrIV	666771	667023	253	Nagalakshmi_2008
YDR115W	chrIV	682136	682175	40	Miura_2006
YDR116C	chrIV	683582	683627	46	Nagalakshmi_2008
YDR117C	chrIV	685644	685700	57	Xu_2009
YDR119W	chrIV	688144	688227	84	Miura_2006
YDR119W-A	chrIV	690946	691014	69	Miura_2006
YDR121W	chrIV	693453	693585	133	Miura_2006
YDR122W	chrIV	694394	694700	307	Yassour_2009
YDR123C	chrIV	699469	699557	89	Xu_2009
YDR129C	chrIV	715380	715439	60	Xu_2009
YDR133C	chrIV	721298	721533	236	Miura_2006
YDR137W	chrIV	728160	728259	100	Xu_2009
YDR139C	chrIV	733925	734002	78	Miura_2006
YDR140W	chrIV	734118	734138	21	Miura_2006
YDR144C	chrIV	746102	746241	140	Xu_2009
YDR148C	chrIV	755067	755302	236	Nagalakshmi_2008
YDR152W	chrIV	765648	765706	59	Xu_2009
YDR153C	chrIV	767972	768104	133	Nagalakshmi_2008
YDR155C	chrIV	769001	769096	96	Miura_2006
YDR156W	chrIV	769476	769525	50	Miura_2006
YDR158W	chrIV	770315	770357	43	Miura_2006
YDR161W	chrIV	779003	779043	41	Xu_2009
YDR165W	chrIV	784830	784871	42	Yassour_2009
